Title,About,Usuability,Link
data-science-salaries-2023,Data Science Job Salaries Dataset contains 11 columns each are:,10.00,https://www.kaggle.com/datasets/arnabchaki/data-science-salaries-2023
automobile-dataset,if you found it useful Make an upvote 🔼.you are given dataset which contains information about automobiles.The dataset contains 399 rows of 9 featuresThe dataset consists of the following columns:,9.41,https://www.kaggle.com/datasets/tawfikelmetwally/automobile-dataset
salary-data,A The dataset was obtained from multiple sources including surveys job posting sites and other publicly available sources.A total of 6704 data points were collected.The dataset included fivevariables: age experience job role and education level and salary,8.82,https://www.kaggle.com/datasets/mohithsairamreddy/salary-data
disease-symptoms-and-patient-profile-dataset,Note: If you find this dataset useful Do upvote the dataset so it can reach further kagglers.Unveil the mysteries of diseases with our Comprehensive Disease Symptom and Patient Profile Dataset. This captivating dataset offers a treasure trove of information revealing the fascinating connections between symptoms demographics and health indicators. Delve into the rich tapestry of fever cough fatigue and difficulty breathing intertwined with age gender blood pressure and cholesterol levels. Whether you're a medical researcher healthcare professional or data enthusiast this dataset holds the key to unlocking profound insights. Explore the hidden patterns uncover unique symptom profiles and embark on a captivating journey through the world of medical conditions. Get ready to revolutionize healthcare understanding with our dataset.Columns and Usage:Disease: The name of the disease or medical condition.  Fever: Indicates whether the patient has a fever (Yes/No).  Cough: Indicates whether the patient has a cough (Yes/No).  Fatigue: Indicates whether the patient experiences fatigue (Yes/No).  Difficulty Breathing: Indicates whether the patient has difficulty breathing (Yes/No).  Age: The age of the patient in years.  Gender: The gender of the patient (Male/Female).  Blood Pressure: The blood pressure level of the patient (Normal/High).  Cholesterol Level: The cholesterol level of the patient (Normal/High).  Outcome Variable: The outcome variable indicating the result of the diagnosis or assessment for the specific disease (Positive/Negative).This dataset can be used by various stakeholders including:Healthcare Professionals: Medical practitioners doctors and researchers can utilize this dataset for clinical analysis research studies and epidemiological investigations related to different diseases. It can aid in understanding the prevalence and patterns of symptoms among patients with specific medical conditions.Medical Researchers: Researchers focused on specific diseases or conditions mentioned in the dataset can utilize it to explore relationships between symptoms age gender and other variables. This data can contribute to developing new insights treatment strategies and preventive measures.Healthcare Technology Companies: Companies developing healthcare applications diagnostic tools or AI algorithms can use this dataset to train and validate their models. The data can assist in the development of predictive models for disease diagnosis or monitoring based on symptoms and patient characteristics.Find more datasets here,10.00,https://www.kaggle.com/datasets/uom190346a/disease-symptoms-and-patient-profile-dataset
powerlifting-database,This data is also available at https://www.kaggle.com/open-powerlifting/powerlifting-databaseThis version of the data was created to ensure a static copy and reproducible results in a Kaggle Learn course.,5.88,https://www.kaggle.com/datasets/dansbecker/powerlifting-database
food-ingredients-and-allergens,Note: If you found this dataset useful then do upvote the dataset so it can reach further kagglers.The Food Allergens Dataset is a collection of information regarding allergens present in various food items. The dataset contains allergen information for a range of food ingredients enabling the identification and analysis of potential allergens in different dishes and products. It serves as a valuable resource for researchers food manufacturers healthcare professionals and individuals with food allergies.Size:  The dataset consists of a total of 400 records with each record representing a specific food item and its associated allergens.Allergens: The dataset includes a comprehensive list of allergens found in the food items. These allergens encompass a wide range of ingredients such as dairy wheat nuts (almonds peanuts pine nuts) seafood (anchovies fish shellfish) grains (oats rice) animal-based ingredients (chicken pork) plant-based ingredients (celery mustard soybeans) and common ingredients (cocoa eggs). Additionally the dataset contains entries where no specific allergens are listed.Data Structure - The dataset is structured with multiple columns to provide detailed information. The columns include:Potential Models and Analysis:Allergen Detection Model:  can predict whether it contains allergens or notIngredient Similarity Analysis: This analysis can provide insights into similarities and differences among different types of dishes.Allergen Prevalence Analysis: Can gain insights into the prevalence of different allergens in food products.Recommender Systems: The dataset can also be used to develop recommender systems for individuals with specific dietary restrictions or allergies.,10.00,https://www.kaggle.com/datasets/uom190346a/food-ingredients-and-allergens
temporary-us-births,"This dataset provides birth rates and related data across the 50 states and DC from 2016 to 2021. The data was sourced from the Centers for Disease Control and Prevention (CDC) and includes detailed information such as number of births gender birth weight state and year of the delivery. A particular emphasis is given to detailed information on the mother's educational level. With this dataset one can for example examine trends and patterns in birth rates across different academic groups and geographic locations. Each row in the dataset is considered a category defined by the state birth year baby's gender and educational level of the mother. Three quantities are given for each category: number of births mother's average age and average baby weight. The CDC is sensitive to potentially disclosing personal information so any category with less than ten births is suppressed. For this reason you will find 12 rows missing out of an expected 550851 states * 6 years * 2 genders * 9 edu levels = 5508Those missing rows all had the mother's educational level listed as ""unknown or not stated"" and their absence should not significantly impact studies or conclusions made using the dataset.The data in this dataset was obtained using CDC's WONDER retrieval tool on the CDC Natality pageImage by Sarah Richter from Pixabay",10.00,https://www.kaggle.com/datasets/danbraswell/temporary-us-births
sleep-health-and-lifestyle-dataset,Note: Don't forget to upvote when you find this useful.Dataset Overview:The Sleep Health and Lifestyle Dataset comprises 400 rows and 13 columns covering a wide range of variables related to sleep and daily habits. It includes details such as gender age occupation sleep duration quality of sleep physical activity level stress levels BMI category blood pressure heart rate daily steps and the presence or absence of sleep disorders.Key Features of the Dataset:Comprehensive Sleep Metrics: Explore sleep duration quality and factors influencing sleep patterns.Lifestyle Factors: Analyze physical activity levels stress levels and BMI categories.Cardiovascular Health: Examine blood pressure and heart rate measurements.Sleep Disorder Analysis: Identify the occurrence of sleep disorders such as Insomnia and Sleep Apnea.Dataset Columns:Person ID: An identifier for each individual.Gender: The gender of the person (Male/Female).Age: The age of the person in years.Occupation: The occupation or profession of the person.Sleep Duration (hours): The number of hours the person sleeps per day.Quality of Sleep (scale: 1-10): A subjective rating of the quality of sleep ranging from 1 to 10.Physical Activity Level (minutes/day): The number of minutes the person engages in physical activity daily.Stress Level (scale: 1-10): A subjective rating of the stress level experienced by the person ranging from 1 to 10.BMI Category: The BMI category of the person (e.g. Underweight Normal Overweight).Blood Pressure (systolic/diastolic): The blood pressure measurement of the person indicated as systolic pressure over diastolic pressure.Heart Rate (bpm): The resting heart rate of the person in beats per minute.Daily Steps: The number of steps the person takes per day.Sleep Disorder: The presence or absence of a sleep disorder in the person (None Insomnia Sleep Apnea).Details about Sleep Disorder Column:,10.00,https://www.kaggle.com/datasets/uom190346a/sleep-health-and-lifestyle-dataset
ipl-complete-player-performance-2008-2022,IPL 2008-2022 Complete Player Performance DatasetContextThe Indian Premier League (IPL) is a professional men's Twenty20 cricket league contested by ten teams based out of ten Indian cities. The league was founded by the Board of Control for Cricket in India (BCCI) in 2007. It is usually held between March and May of every year and has an exclusive window in the ICC Future Tours Programme.The IPL is the most-attended cricket league in the world and in 2014 was ranked sixth by average attendance among all sports leagues. In 2010 the IPL became the first sporting event in the world to be broadcast live on YouTube. The brand value of the IPL in 2019 was ₹47500 crores (6.3 billion US dollars) according to Duff & Phelps. According to BCCI the 2015 IPL season contributed ₹1150 crores (150 million US dollars) to the GDP of the Indian economy. The 2020 IPL season set a massive viewership record with 31.57 million average impressions and with an overall consumption increase of 23 percent from the 2019 season.There have been fourteen seasons of the IPL tournament. The current IPL title holders are the Chennai Super Kings winning the 2021 season. The venue for the 2020 season was moved due to the COVID-19 pandemic and games were played in the United Arab EmiratesAdded New Data for IPL - 2022 Edition.Announcement - 2 months for IPL 2023 Dataset,10.00,https://www.kaggle.com/datasets/nikhilsharma1212/ipl-complete-player-performance-2008-2022
student-skillset-analysis,Data under analysis belongs to undergraduate students who are pursuing bachelor's in technology. The four-year course produces a major technically sound workforce which boost up the service sector. Being a major contributor to the service sector the students must have a technically sound skillset which can land them into companies without much struggle.The skillset required as per the jobs are different as per the role but few factors contribute to each skillset. These factors and their corelation will be studied in the research. Several hypotheses will be considered from observations of the data which will be tested using statistical tests for rejection/non rejection.The Team: @manasrai1406 @hellomishraa @harveernarwar @Khushiarora123 @Shivang2003 @gar414 @VIKAS_GENISYSs,10.00,https://www.kaggle.com/datasets/kushagrathisside/student-skillset-analysis
